"features.plot","id","pct.exp","avg.exp","avg.exp.scaled"
"SLAMF6","Tumor_T3",5.68181818181818,0.152182395051434,-0.269722172810682
"IL7R","Tumor_T3",37.9545454545455,3.81264767141695,0.0144297050302416
"SELL","Tumor_T3",14.7727272727273,0.354962811050138,-0.0417493118494081
"CCR7","Tumor_T3",12.2727272727273,0.681861367566211,0.0727452013163707
"PDCD1","Tumor_T3",9.09090909090909,0.317661901180673,0.0536529725229912
"TOX","Tumor_T3",11.5909090909091,0.368492952281188,0.174412720752734
"HAVCR2","Tumor_T3",23.8636363636364,0.627634143110292,0.427345655178039
"LAG3","Tumor_T3",17.7272727272727,0.620648770819937,0.0924116135158719
"TIGIT","Tumor_T3",20.9090909090909,0.979780546521569,-0.05095928427644
"GZMB","Tumor_T3",32.5,3.29524471464563,0.193549694561705
"PRF1","Tumor_T3",33.6363636363636,2.36414612588967,0.166614641552878
"IFNG","Tumor_T3",16.1363636363636,2.20473740903869,0.30837339953246
"FOXP3","Tumor_T3",1.81818181818182,0.0426074997675499,-0.284517894316311
"IL2RA","Tumor_T3",5.22727272727273,0.176457512306928,-0.247656620790939
"NKG7","Tumor_T3",61.1363636363636,9.74922970668114,0.14626011709846
"GNLY","Tumor_T3",20.6818181818182,3.66166887494042,0.129059280772944
"TCF7","Tumor_T4",10.3942652329749,0.454089495630482,0.0362708826252189
"SLAMF6","Tumor_T4",5.01792114695341,0.18478109593204,-0.00815129959402832
"IL7R","Tumor_T4",53.763440860215,6.60848754533725,0.649378119132281
"SELL","Tumor_T4",10.3942652329749,0.59260603504945,0.746361237592934
"CCR7","Tumor_T4",19.7132616487455,1.65629317961485,1.31336660047587
"PDCD1","Tumor_T4",9.31899641577061,0.537080318551129,0.998565556240756
"TOX","Tumor_T4",10.0358422939068,0.417133399304195,0.386289853832063
"HAVCR2","Tumor_T4",13.9784946236559,0.750450524161417,0.730241675717149
"LAG3","Tumor_T4",13.9784946236559,0.742879292755058,0.40142484309306
"TIGIT","Tumor_T4",22.5806451612903,1.50117626292135,0.506481870292688
"GZMB","Tumor_T4",34.4086021505376,5.60047837330518,0.810942777427652
"PRF1","Tumor_T4",30.4659498207885,2.52165117046865,0.238710411032213
"IFNG","Tumor_T4",10.3942652329749,1.19471259906732,-0.367342198364162
"FOXP3","Tumor_T4",4.6594982078853,0.195548004187676,0.453580702254615
"IL2RA","Tumor_T4",5.73476702508961,0.302254833369087,0.0689310637256275
"NKG7","Tumor_T4",46.5949820788531,9.34488979196238,0.102459166302682
"GNLY","Tumor_T4",25.8064516129032,8.32931713330523,0.912856027968517
"TCF7","Tumor_T5",16.0642570281125,0.302516458419173,-0.559688012675916
"SLAMF6","Tumor_T5",10.0401606425703,0.146774475673475,-0.313829732655266
"IL7R","Tumor_T5",33.3333333333333,2.74267211194093,-0.33415172593547
"SELL","Tumor_T5",14.4578313253012,0.36037826263456,-0.0222960302342253
"CCR7","Tumor_T5",15.6626506024096,0.63884737925574,0.00241735401923452
"PDCD1","Tumor_T5",23.2931726907631,0.317506183538331,0.052927939916861
"TOX","Tumor_T5",14.859437751004,0.278069829717595,-0.240284975114736
"HAVCR2","Tumor_T5",26.1044176706827,0.403994663997301,-0.188084023086839
"LAG3","Tumor_T5",38.9558232931727,0.703622785412984,0.304607519509121
"TIGIT","Tumor_T5",32.1285140562249,0.677529345081755,-0.445988002121852
"GZMB","Tumor_T5",30.1204819277108,1.29784670326804,-0.705359610197195
"PRF1","Tumor_T5",38.9558232931727,1.09428133085242,-0.580193244432076
"IFNG","Tumor_T5",14.859437751004,0.527438448213774,-1.01428552688582
